ID,Name,Area,lat,lon
1,Χώρος Στάθμευσης ΤΕΠΑΚ (Γεωργίου Γενναδίου),Κέντρο - ΤΕΠΑΚ,34.68352,33.04512
2,Δημοτικός Χώρος Στάθμευσης Μόλου (Χατζηπαύλου),Παραλιακός - Μόλος,34.67389,33.04542
3,Δημοτικός Χώρος Στάθμευσης Σπύρου Αραούζου (Μόλος),Παραλιακός - Μόλος,34.67512,33.04891
4,Χώρος Στάθμευσης Παλιού Λιμανιού,Παλιό Λιμάνι - Μαρίνα,34.67105,33.03712
5,Χώρος Στάθμευσης Μαρίνας Λεμεσού,Παλιό Λιμάνι - Μαρίνα,34.67021,33.03945
6,Δημοτικός Χώρος Στάθμευσης Εναερίου (Μακαρίου),Εναέριος,34.68692,33.05185
7,Χώρος Στάθμευσης Πλησίον Δικαστηρίων (Εμ. Ροΐδη),Δικαστήρια,34.69124,33.04512
8,Οδός Ανδρέα Θεμιστοκλέους,Κέντρο,34.68532,33.04125
9,Οδός Σπύρου Αραούζου,Κέντρο,34.67841,33.04612
10,Οδός Ηπείρου,Κέντρο,34.68815,33.04412
